GEOUID,CDcode,POP2021,POPDENS,LOWINC,LOWINC0-17,LOWINC18-64,LOWINC65+
2466,66,2004265,4022.3,213720,29585,153385,30745
2466007,66,4394,361.6,380,80,255,45
2466023,66,1762949,4833.5,199665,26605,144765,28295
2466032,66,19658,4860.9,1860,435,1130,295
2466047,66,5115,3737.9,245,40,165,40
2466058,66,34504,4903.7,2740,550,1620,565
2466062,66,7037,3922.1,380,75,245,55
2466072,66,20953,2776.7,1380,395,820,165
2466087,66,19302,923,1140,175,765,195
2466092,66,30,154.7,,,,
2466097,66,33488,1770.9,1495,285,835,375
2466102,66,19413,2012,825,250,490,90
2466107,66,19277,1747.5,790,205,480,110
2466112,66,3764,623.9,155,40,90,30
2466117,66,5027,480.8,440,35,360,45
2466127,66,951,127.7,45,10,30,10
2466142,66,48403,3230.2,2185,415,1340,435